t,x,y,z,abs
0,-1.31230998,-0.0543400012,-0.09418900311,1.316807461
0.00496837,-1.315783024,-0.03938600048,-0.07957600057,1.318775403
0.00993668,-1.31893301,-0.0484389998,-0.0626270026,1.321307218
0.01490499,-1.331320047,-0.05527799949,-0.05531999841,1.333615022
0.01987331,-1.345602989,-0.04081699997,-0.03373999894,1.346644652
0.02484161,-1.340217948,-0.03382600099,-0.02182999998,1.34082247
0.02981015,-1.362898946,-0.04148099944,-0.01961999945,1.363671205
0.03477848,-1.375303984,-0.03268700093,-0.01754000038,1.375804179
0.03974679,-1.379995942,-0.03137600049,-0.04189300165,1.380988152
0.04471516,-1.391381025,-0.03029200062,-0.07830200344,1.39391175
0.04968347,-1.414221048,-0.02933399938,-0.09565199912,1.417755607
0.05465177,-1.451038003,-0.01402099989,-0.1082829982,1.455140228
0.05962009,-1.463570952,-0.02022800036,-0.1161860004,1.468314779
0.06458863,-1.480692029,-0.009668000042,-0.1097560003,1.484785754
0.06955694,-1.490417957,-0.01830499992,-0.09332499653,1.493449134
0.07452524,-1.504657984,-0.01020700019,-0.07694099844,1.506658471
0.07949363,-1.521070957,-0.01172100008,-0.06538300216,1.522520665
0.08446194,-1.532320976,0.01055900007,-0.07064799964,1.533985074
0.08943024,-1.555117011,0.006386999972,-0.07598499954,1.556985367
0.09439855,-1.563125968,0.01168700028,-0.07181899995,1.564818631
0.09936686,-1.573006034,0.009761000052,-0.07971599698,1.575054888
0.1043354,-1.579967976,0.02694300003,-0.1020679995,1.58349064
0.10930371,-1.595986009,0.02744499967,-0.1125440001,1.600184589
0.11427202,-1.616269946,0.02804600075,-0.1111399978,1.620329354
0.11924031,-1.643270016,0.03595599905,-0.09784600139,1.646573114
0.12420862,-1.650650024,0.04876400158,-0.08224099874,1.653416769
0.129177,-1.664901972,0.03302200139,-0.06429299712,1.666470107
0.13414533,-1.671664,0.04130899906,-0.05357800052,1.673032445
0.13911363,-1.687695026,0.05682099983,-0.03093899973,1.688934679
0.14408216,-1.677139997,0.05568899959,-0.01552200038,1.678136099
0.14905048,-1.702244043,0.06413599849,-0.01210999954,1.703494896
0.15401878,-1.695873976,0.06307800114,-0.0183290001,1.697145641
0.15898711,-1.693946004,0.07173699886,-0.04375699908,1.696028872
0.16395549,-1.696460009,0.07334300131,-0.03093099967,1.698326377
0.1689238,-1.698629975,0.08467199653,-0.04449500144,1.701320941
0.17389212,-1.697960019,0.07469400018,-0.05334300175,1.70043903
0.17886043,-1.694404006,0.07923600078,-0.05508700013,1.697149922
0.18382872,-1.68561995,0.08627299964,-0.05210600048,1.688630416
0.18879726,-1.690762043,0.08874099702,-0.05158700049,1.693874986
0.19376557,-1.675798059,0.09599100053,-0.05641699955,1.679492865
0.19873387,-1.662917018,0.0913830027,-0.04691100121,1.666086584
0.20370218,-1.661676049,0.1060749963,-0.03743999824,1.665479196
0.20867057,-1.662446976,0.09706699848,-0.0375880003,1.665702497
0.21363888,-1.631971955,0.1072470024,-0.04969999939,1.636247069
0.21860719,-1.632339001,0.09610000253,-0.04747200012,1.635854338
0.22357551,-1.596531987,0.1043599993,-0.0404760018,1.600451093
0.22854405,-1.57485199,0.1103760004,-0.03349300101,1.579070433
0.23351236,-1.55766201,0.1045159996,-0.02174099907,1.561315856
0.23848067,-1.53056705,0.1013080031,0.006740999874,1.533930979
0.24344905,-1.512698054,0.1077499986,0.01844299957,1.516642875
0.24841736,-1.485070944,0.1143919975,0.02572000027,1.489692168
0.25338567,-1.466642022,0.1091890037,0.03775199875,1.471185329
0.25835398,-1.435865045,0.1088379994,0.05693500116,1.441109202
0.2633225,-1.421416044,0.1133359969,0.06171600148,1.427262234
0.26829081,-1.394772053,0.1250730008,0.0617050007,1.401727449
0.27325912,-1.372586012,0.1154059991,0.07124800235,1.379270525
0.27822742,-1.326128006,0.1129439995,0.04965199903,1.33185478
0.28319573,-1.315299034,0.1177930012,0.04240899906,1.321243832
0.28816411,-1.265985966,0.1179660037,0.05911500007,1.272843677
0.29313242,-1.250008941,0.1135199964,0.04709399864,1.25603622
0.29810073,-1.209810972,0.1114810035,0.04704099894,1.215846807
0.30306904,-1.166983008,0.1118689999,0.06135800108,1.173937315
0.30803758,-1.138229012,0.1098949984,0.05652099848,1.144917822
0.31300589,-1.08998096,0.1054909974,0.05167900026,1.096292645
0.3179742,-1.058254957,0.1106920019,0.05642500147,1.065523371
0.32294249,-1.026132941,0.1086720005,0.06355600059,1.033826766
0.32791087,-0.9865829945,0.1067010015,0.05872799829,0.9940724755
0.33287918,-0.9587020278,0.09987699986,0.05869900063,0.9656762221
0.33784748,-0.9041370153,0.1027150005,0.06585299969,0.9123325772
0.34281579,-0.8660799861,0.09595499933,0.07302399725,0.8744337644
0.34778432,-0.8300579786,0.09878800064,0.09456899762,0.8412482465
0.35275263,-0.7962750196,0.08955799788,0.1017820016,0.8077339399
0.35772094,-0.7647330165,0.09949599952,0.1353659928,0.7829687046
0.36268932,-0.7138789892,0.09267099947,0.1522230059,0.7357873123
0.36765764,-0.6723889709,0.1001019999,0.1786900014,0.7028922073
0.37262595,-0.6450989842,0.1002840027,0.1644950062,0.6732519497
