t,x,y,K
0.5370149,0.09190729,0.00961744,0.01870598
0.5411778,0.0955098,0.009837733,0.01860208
0.5453407,0.09894392,0.01013969,0.01793011
0.5495036,0.1024211,0.01030949,0.01790555
0.5536665,0.1058591,0.01046096,0.01835161
0.5578294,0.1094203,0.01066597,0.01792317
0.5619923,0.1127715,0.0108947,0.01716264
0.5661552,0.1161839,0.01110084,0.01730251
0.5703181,0.1195663,0.01126757,0.0176285
0.574481,0.1230395,0.0115266,0.01667596
0.5786439,0.1262304,0.01173841,0.01695695
0.5828069,0.1297671,0.01187844,0.01716404
0.5869698,0.1329887,0.01225195,0.01637929
0.5911327,0.1363663,0.01241444,0.01688166
0.5952956,0.1397022,0.0125859,0.01638628
0.5994585,0.142971,0.01289876,0.01601062
0.6036214,0.1462292,0.01308456,0.01617555
0.6077843,0.1495414,0.01324925,0.01516393
0.6119472,0.1525782,0.01360939,0.01461071
0.6161101,0.1557668,0.01383988,0.01575089
0.620273,0.1590395,0.01424776,0.01570687
0.6244359,0.1622161,0.01450666,0.01450236
0.6285988,0.1652541,0.0146869,0.01400226
0.6327617,0.16831,0.0150902,0.01420294
0.6369246,0.1713843,0.01534543,0.0139538
0.6410875,0.174385,0.01575334,0.01364439
0.6452504,0.1773884,0.01603032,0.01355118
0.6494134,0.1803713,0.01641124,0.01346209
0.6535763,0.1833458,0.01676534,0.01334767
0.6577392,0.1863015,0.0171575,0.01332404
0.6619021,0.1892778,0.0174521,0.0133581
0.666065,0.1922404,0.0178513,0.01310152
0.6702279,0.1951519,0.01820001,0.01301445
0.6743908,0.1980995,0.01856066,0.01297558
0.6785537,0.201017,0.01877357,0.01183404
0.6827166,0.2036917,0.01919341,0.01149901
0.6868795,0.2065126,0.01953199,0.01190268
0.6910424,0.2092896,0.01991388,0.01149933
0.6952053,0.2120165,0.02022771,0.01135651
0.6993682,0.2147677,0.02053446,0.01132524
0.7035311,0.2174798,0.02090792,0.01074398
0.707694,0.2200749,0.02130229,0.0106001
0.7118569,0.2227536,0.02165481,0.01053036
0.7160198,0.2253306,0.02205155,0.009543924
0.7201828,0.2277516,0.02240549,0.009597425
0.7243457,0.2303407,0.02281678,0.00962049
0.7285086,0.2327665,0.02317944,0.008554807
0.7326715,0.235072,0.02353158,0.008323255
0.7368344,0.2374363,0.02386468,0.007971357
0.7409973,0.239631,0.02427289,0.007712632
0.7451602,0.2419213,0.0245905,0.007657421
0.7493231,0.2440962,0.02501911,0.007353645
0.753486,0.2462925,0.02534789,0.007338068
0.7576489,0.2484608,0.02578705,0.007068069
0.7618118,0.2505808,0.02607417,0.00668197
0.7659747,0.2526418,0.02642182,0.006589767
0.7701376,0.2547351,0.02668985,0.00586593
0.7743005,0.2565592,0.02701672,0.005620641
0.7784634,0.2585774,0.02721877,0.005579791
0.7826263,0.260399,0.02745238,0.005304369
0.7867893,0.262294,0.02783854,0.005218119
0.7909522,0.2640867,0.0280582,0.005512753
0.7951151,0.2660761,0.02850948,0.005185789
0.799278,0.2677535,0.02871644,0.003971156
0.8034409,0.2693089,0.02893026,0.003947684
0.8076038,0.2709738,0.02915864,0.0041532
0.8117667,0.2726095,0.02940092,0.0037468
0.8159296,0.2741028,0.02964617,0.003779933
0.8200925,0.2757408,0.02995931,0.003644186
0.8242554,0.2771668,0.03025005,0.003289063
0.8284183,0.278647,0.03055693,0.003359765
0.8325812,0.280113,0.03080883,0.00329427
0.8367441,0.2815761,0.03104381,0.003282517
0.840907,0.2830147,0.03141371,0.003079604
0.8450699,0.2843819,0.03165183,0.002501473
0.8492328,0.2855253,0.03203952,0.002269792
0.8533957,0.2867374,0.03237744,0.002360166
0.8575587,0.2880069,0.03243783,0.002133813
0.8617216,0.2890914,0.03278938,0.00193443
0.8658845,0.2902127,0.03299601,0.001786573
0.8700474,0.2912505,0.03313553,0.001455253
0.8742103,0.292129,0.03346799,0.001480254
0.8783732,0.2931809,0.03362091,0.001364207
0.8825361,0.2940196,0.03374501,0.001052392
0.886699,0.2948431,0.03385255,0.0009920251
0.8908619,0.2956081,0.03410793,0.0008668507
0.8950248,0.29631,0.03426256,0.0007595856
0.8991877,0.2970144,0.03434283,0.0006665381
0.9033506,0.2976355,0.03442744,0.0006175776
0.9075135,0.2982876,0.03452192,0.000591386
0.9116764,0.2988901,0.03452097,0.0005461912
0.9158393,0.2994966,0.03452077,0.0003864429
0.9200022,0.2999069,0.03450556,0.0002726237
0.9241652,0.3003507,0.03453356,0.0003151796
0.9283281,0.3008251,0.03452819,0.0002323172
0.932491,0.3011384,0.03449617,0.0001711265
0.9366539,0.3014992,0.03446834,0.000106693
0.9408168,0.3016685,0.03442866,0.00004843051
0.9449797,0.3018452,0.03436889,0.00002793096
0.9491426,0.3019415,0.0344152,0.00002351209
0.9533055,0.3020958,0.03438114,0.0000249699
0.9574684,0.3021795,0.03431421,0.00000470209
0.9616313,0.3021974,0.03433353,0.000000392334
0.9657942,0.3021958,0.03428622,0.000002681647
0.9699571,0.3021585,0.03425825,0.00001383251
0.97412,0.3020041,0.03427023,0.00002452929
0.9782829,0.3019027,0.0342433,0.00003487928
0.9824458,0.3017127,0.03417827,0.0001113181
0.9866087,0.3013696,0.03412604,0.0001593032
0.9907717,0.3010679,0.03407542,0.00021026
0.9949346,0.3006274,0.03401723,0.0002557717
0.9990975,0.3002451,0.03398854,0.0003047108
1.00326,0.2997245,0.03400171,0.0003886645
1.007423,0.2992292,0.03389768,0.0004275856
1.011586,0.2986632,0.03386678,0.0005651927
1.015749,0.2980013,0.03382755,0.0007082884
1.019912,0.2972932,0.03373064,0.0009154932
1.024075,0.2964715,0.03349595,0.001080189
1.028238,0.2956394,0.0333355,0.001065195
1.032401,0.2948049,0.03322545,0.001107148
1.036564,0.2939373,0.03307868,0.001260794
1.040727,0.2929775,0.03303808,0.001255067
1.044889,0.2921319,0.03276288,0.001305706
1.049052,0.2911823,0.03251671,0.001585795
1.053215,0.2900944,0.03245828,0.001701212
1.057378,0.2890518,0.03239722,0.001796598
1.061541,0.2879214,0.03216444,0.002017933
1.065704,0.2867614,0.0320039,0.0019912
1.069867,0.2856536,0.03173252,0.002359641
1.07403,0.2842903,0.03154657,0.002781022
1.078193,0.2829573,0.03131649,0.002470384
1.082356,0.2817648,0.03106341,0.002749282
1.086518,0.280285,0.0308506,0.003272595
1.090681,0.2788667,0.03046318,0.003463657
1.094844,0.2773067,0.03021835,0.003542412
1.099007,0.2758205,0.03001462,0.003654368
1.10317,0.2742384,0.02961298,0.003942032
1.107333,0.2726415,0.02934765,0.004189671
1.111496,0.2709563,0.02894882,0.004174772
1.115659,0.2693635,0.0286933,0.003821718
1.119822,0.267797,0.02845187,0.004337181
1.123985,0.2660134,0.02807303,0.005024499
1.128148,0.2641866,0.02780917,0.005439004
1.13231,0.2622521,0.02743276,0.005759589
1.136473,0.2603189,0.0271338,0.005624079
1.140636,0.2584282,0.0267771,0.005879898
1.144799,0.256418,0.02641294,0.006134218
1.148962,0.2544326,0.02610447,0.006073713
1.153125,0.2524304,0.02581748,0.006647764
1.157288,0.2502747,0.02539451,0.00703859
1.161451,0.2481403,0.02515902,0.007140542
1.165614,0.2459287,0.02492179,0.007116265
1.169777,0.2438251,0.02450679,0.00752062
1.17394,0.2414997,0.02420617,0.008040107
1.178102,0.2392364,0.02382683,0.008056914
1.182265,0.2368989,0.02357611,0.008259669
1.186428,0.2345728,0.0232293,0.008534376
1.190591,0.2321694,0.02288817,0.008500096
1.194754,0.2298619,0.02248271,0.009229758
1.198917,0.2272444,0.02221932,0.009617831
1.20308,0.2248328,0.0218124,0.009449236
1.207243,0.2222841,0.02139142,0.01026015
1.211406,0.219655,0.02100546,0.01078413
1.215569,0.2169643,0.02064198,0.01095953
1.219731,0.2142833,0.02031547,0.0111354
1.223894,0.211548,0.0199583,0.01122652
1.228057,0.2088553,0.01955106,0.01124102
1.23222,0.206106,0.01927314,0.01105695
1.236383,0.2034565,0.01888317,0.01129385
1.240546,0.200655,0.01855617,0.01185001
1.244709,0.1978698,0.01817316,0.01216708
1.248872,0.1949923,0.01785019,0.01257478
1.253035,0.1921022,0.01754886,0.01273673
1.257198,0.1891881,0.01721826,0.0127626
1.261361,0.186304,0.01681425,0.01287495
1.265523,0.1833617,0.01650254,0.01318412
1.269686,0.180404,0.01612416,0.01395661
1.273849,0.1772856,0.01584302,0.01422445
1.278012,0.1742655,0.01550105,0.01419308
1.282175,0.1711569,0.01519068,0.01417861
1.286338,0.1681475,0.01478089,0.01378854
1.290501,0.1651158,0.01455105,0.01425767
1.294664,0.1619923,0.01425891,0.01459398
1.298827,0.1588913,0.01398974,0.01460933
1.30299,0.1557627,0.01371718,0.01452648
1.307153,0.152682,0.0134218,0.01388435
1.311315,0.1496917,0.01316716,0.01482537
1.315478,0.1464061,0.01288074,0.01585103
1.319641,0.1432061,0.01256641,0.01628778
1.323804,0.1398229,0.01237666,0.01569714
1.327967,0.136745,0.01204952,0.01491794
1.33213,0.1335305,0.0118003,0.01597139
1.336293,0.1302273,0.01153511,0.01656795
1.340456,0.1268933,0.01126102,0.01722218
