t,x,y,K
0.,-0.02667973,0.007802083,
0.004166667,-0.02668659,0.007800032,0.00000005841429
0.008333333,-0.02667338,0.007791296,0.0000005935973
0.01248889,-0.02664772,0.007791275,0.0000009315665
0.01665556,-0.02663319,0.007820887,0.0000004888703
0.02082222,-0.02661819,0.007812224,0.00000007233521
0.02497778,-0.02661973,0.007817376,0.0000001997376
0.02914444,-0.02659539,0.007816016,0.0000001916779
0.03331111,-0.02659722,0.007814699,0.0000004243048
0.03746667,-0.02656222,0.007810182,0.0000003918432
0.04163333,-0.02656495,0.007817324,0.0000001700784
0.0458,-0.02654367,0.007820772,0.0000007602064
0.04995556,-0.0265199,0.007815547,0.000001519141
0.05412222,-0.02648037,0.007813369,0.000000747725
0.05828889,-0.02647643,0.007826274,0.0000004197666
0.06244444,-0.02644724,0.007818385,0.000001380959
0.06661111,-0.02641682,0.007814471,0.000001070264
0.07077778,-0.02639454,0.007808787,0.000000552176
0.07493333,-0.02637879,0.007820001,0.0000007422435
0.0791,-0.02635383,0.007826884,0.0000007454872
0.08325556,-0.0263342,0.007822247,0.000001210763
0.08742222,-0.02629812,0.007815302,0.000001925059
0.09158889,-0.02626261,0.00781625,0.000002174125
0.09574444,-0.02622311,0.007828995,0.000002273971
0.09991111,-0.02618925,0.00784269,0.000003009364
0.1040778,-0.02613332,0.007826566,0.000001531397
0.1082333,-0.02612615,0.007832014,0.0000008808017
0.1124,-0.02608516,0.007832584,0.00000173354
0.1165667,-0.02606095,0.007812085,0.00001468655
0.1207222,-0.02588808,0.007811784,0.00004081207
0.1248889,-0.02573104,0.007829165,0.00002749772
0.1290556,-0.02561659,0.007816408,0.00001995765
0.1332111,-0.02550016,0.007821076,0.00001428061
0.1373778,-0.02542181,0.007832236,0.000008137
0.1415444,-0.02535245,0.007821122,0.00003193676
0.1457,-0.0251296,0.007828176,0.00005253784
0.1498667,-0.0249777,0.007828221,0.00003210012
0.1540333,-0.02483626,0.007832595,0.00002766853
0.1581889,-0.02470592,0.007839309,0.00002444852
0.1623556,-0.0245808,0.007821722,0.00004573361
0.1665222,-0.02435585,0.007830407,0.00006047356
0.1706778,-0.02417882,0.007832771,0.00003861983
0.1748444,-0.02403469,0.007841699,0.00002722141
0.1790111,-0.02390942,0.007853112,0.00002196211
0.1831667,-0.02379287,0.007825788,0.00005081797
0.1873333,-0.02354096,0.007841998,0.00007465727
0.1915,-0.02334605,0.007848679,0.00004742932
0.1956556,-0.0231858,0.007868387,0.00003114564
0.1998222,-0.02305787,0.007833098,0.00005443667
0.2039889,-0.02280387,0.007859059,0.00008894924
0.2081444,-0.02257158,0.007870145,0.00006184604
0.2123111,-0.02239754,0.007842338,0.00006806465
0.2164778,-0.02214449,0.007860103,0.00008856019
0.2206333,-0.02191214,0.007877029,0.00007701805
0.2248,-0.02169071,0.007865554,0.00009945561
0.2289667,-0.02139574,0.007877147,0.0001094969
0.2331222,-0.02115095,0.007903842,0.0000778019
0.2372889,-0.02093987,0.007861872,0.00009943457
0.2414556,-0.02063471,0.007893551,0.0001060205
0.2456111,-0.0204093,0.007906669,0.00006782109
0.2497778,-0.02020895,0.007883872,0.00009373307
0.2539444,-0.01990798,0.007904964,0.000129637
0.2581,-0.01962157,0.007924399,0.00008248217
0.2622667,-0.0194384,0.007897436,0.00009324198
0.2664333,-0.01912164,0.00791545,0.0001392367
0.2705889,-0.01882821,0.007898662,0.0001388431
0.2747556,-0.01851232,0.007912466,0.000123776
0.2789222,-0.01825288,0.00792826,0.0000946693
0.2830778,-0.01800924,0.007920437,0.0001175933
0.2872444,-0.01769213,0.007932074,0.0001341697
0.2914111,-0.01741089,0.007962016,0.0000950328
0.2955667,-0.01718828,0.007948273,0.0001222116
0.2997333,-0.01683935,0.007973887,0.0001521597
0.3039,-0.01654956,0.007951992,0.0001473474
0.3080556,-0.01621184,0.007990125,0.0001685362
0.3122222,-0.01587834,0.00796428,0.0002017852
0.3163889,-0.0154763,0.00798618,0.0002034322
0.3205444,-0.0151408,0.007970182,0.000181562
0.3247111,-0.0147797,0.008002414,0.0001860981
0.3288778,-0.01443446,0.007977772,0.0001945883
0.3330333,-0.01405841,0.008012046,0.0001921838
0.3372,-0.01371779,0.00799525,0.0001944779
0.3413667,-0.01333659,0.00803224,0.0001989634
0.3455222,-0.01298876,0.008019052,0.0002015462
0.3496889,-0.01260259,0.008046877,0.0002148076
0.3538444,-0.01223127,0.008043831,0.0002140932
0.3580111,-0.01184661,0.008078417,0.0002126905
0.3621778,-0.01147638,0.00806438,0.0002083006
0.3663333,-0.01110048,0.008096013,0.0001921171
0.3705,-0.01075985,0.008082634,0.0002030092
0.3746667,-0.01036287,0.008111781,0.0002038858
0.3788222,-0.01002152,0.00809117,0.0001998798
0.3829889,-0.00963215,0.008135218,0.0002084515
0.3871556,-0.009274115,0.008108526,0.0002209134
0.3913111,-0.008863641,0.008147086,0.0002130522
0.3954778,-0.008519314,0.008109162,0.0002066231
0.3996444,-0.008119561,0.008165887,0.0002094089
0.4038,-0.007771496,0.008136547,0.0002061993
0.4079667,-0.007377241,0.008184874,0.0002010193
0.4121333,-0.007037683,0.008158931,0.0002296224
0.4162889,-0.006594269,0.008216316,0.0002150407
0.4204556,-0.006279484,0.008172243,0.0002097021
0.4246222,-0.005844454,0.008222834,0.0002036291
0.4287778,-0.005541646,0.008183255,0.000202685
0.4329444,-0.005109323,0.008183043,0.0003021895
0.4371111,-0.004642027,0.008213775,0.0002984608
0.4412667,-0.004216311,0.008208455,0.0002819958
0.4454333,-0.003774159,0.008243647,0.0002267636
0.4496,-0.003436864,0.008230219,0.0002224001
0.4537556,-0.003004492,0.008291964,0.0002178822
0.4579222,-0.002673946,0.008254622,0.000245274
0.4620889,-0.002195476,0.00823598,0.0003340818
0.4662444,-0.001729401,0.008289343,0.0002873004
0.4704111,-0.001319267,0.008259,0.0002697838
0.4745778,-0.0008797262,0.008326917,0.0002393576
0.4787333,-0.0005198613,0.008290915,0.0002484766
0.4829,-0.00006476232,0.008343856,0.0002312414
0.4870667,0.000267322,0.008309868,0.0002379493
0.4912222,0.0007323075,0.008312526,0.0003302892
0.4953889,0.00120622,0.008351081,0.0002930345
0.4995556,0.001617936,0.008349439,0.0002951047
0.5037111,0.002093404,0.008396319,0.0002555507
0.5078778,0.002444209,0.008374792,0.0002586335
0.5120444,0.002925633,0.00836703,0.0003629687
0.5162,0.003428393,0.008419498,0.0003146176
0.5203667,0.00384257,0.00839041,0.0002764489
0.5245333,0.004288971,0.008394302,0.0003426492
0.5286889,0.004798913,0.0084315,0.0003320701
0.5328556,0.005231146,0.008411553,0.0003106051
0.5370222,0.005710794,0.008467341,0.0002605379
0.5411778,0.006065282,0.008441923,0.0002361395
0.5453444,0.006504189,0.00842277,0.0003162191
0.5495111,0.006984325,0.008498702,0.0003208439
0.5536667,0.007429878,0.008455512,0.0003050449
0.5578333,0.007887246,0.008520075,0.0002517621
0.562,0.008250918,0.008486005,0.0002483926
0.5661556,0.008700696,0.0084698,0.0003279529
0.5703222,0.009187164,0.008506653,0.0003019964
0.5744889,0.009600326,0.008489669,0.0002754942
0.5786444,0.01004475,0.008542,0.000242449
0.5828111,0.01040534,0.008506602,0.0002491585
0.5869778,0.01086103,0.008500271,0.0003147487
0.5911333,0.0113213,0.008558477,0.0002931968
0.5953,0.01174602,0.008529273,0.0002966565
0.5994667,0.01221153,0.008612402,0.0002540221
0.6036222,0.01256949,0.008563541,0.0002529437
0.6077889,0.01303239,0.008561664,0.0003291378
0.6119556,0.01350837,0.008595089,0.0002910469
0.6161111,0.01391425,0.008586429,0.0002773676
0.6202778,0.01436898,0.008627645,0.000250603
0.6244333,0.01473204,0.008623419,0.0002503129
0.6286,0.01518606,0.008585874,0.0003237416
0.6327667,0.01566329,0.008651651,0.0002891812
0.6369222,0.01606451,0.008626327,0.0002633494
0.6410889,0.01650154,0.008691248,0.0002320183
0.6452556,0.01685308,0.008642101,0.0002531449
0.6494111,0.01732253,0.008637322,0.0003283359
0.6535778,0.01778917,0.008684012,0.000282772
0.6577444,0.01819272,0.008668333,0.0002820861
0.6619111,0.01865745,0.008733253,0.0002472166
0.6660667,0.01900502,0.008703719,0.0002187951
0.6702333,0.01942221,0.008748382,0.0002166065
0.6743889,0.01976557,0.00873165,0.0002423212
0.6785556,0.02022638,0.008712365,0.0003028191
0.6827222,0.0206663,0.008756615,0.0002737995
0.6868778,0.02108187,0.008730166,0.0002523057
0.6910444,0.02148752,0.00877394,0.0002230146
0.6952111,0.02185492,0.00874864,0.0002367153
0.6993667,0.02228254,0.008804495,0.0002061291
0.7035333,0.02259719,0.008764431,0.0002248081
0.7077,0.02305826,0.008836588,0.0002198437
0.7118556,0.02336364,0.008785392,0.0001877024
0.7160222,0.0237666,0.008850673,0.0001893731
0.7201889,0.02407603,0.008801483,0.0001858775
0.7243444,0.02447161,0.008853316,0.0002024647
0.7285111,0.02481158,0.008820849,0.0002065013
0.7326778,0.02521454,0.008895107,0.0001842336
0.7368333,0.02551333,0.008835379,0.0001764166
0.741,0.02590138,0.008892457,0.0001808245
