t,x,y,z,abs
0,-0.05048999935,0.007306000218,-0.03390400112,0.06125437915
0.00496769,-0.03561599925,-0.003331999993,-0.0474030003,0.05938557117
0.00993546,-0.03271999955,-0.009228000417,-0.03695100173,0.05021086428
0.01490317,-0.01543099992,-0.0007740000146,-0.03127500042,0.03488324076
0.01987086,-0.005392999854,0.000452999986,-0.03038400039,0.03086222831
0.02483856,-0.002544000046,-0.005439000204,-0.03666400164,0.03715243836
0.0298065,0.01714199968,0.0006270000013,-0.03813799843,0.04181803685
0.03477419,0.02718199976,-0.01477400027,-0.04439299926,0.05410980113
0.03974188,0.03965200111,-0.01103300042,-0.03387499973,0.05330594617
0.04470961,0.04732099921,-0.004904000089,-0.03053100035,0.05652847216
0.04967738,0.05736700073,-0.003561000107,-0.01520700008,0.05945507838
0.05464507,0.07457300276,-0.01895900071,-0.03818099946,0.08589741071
0.05961276,0.07735999674,-0.01765700057,-0.0324199982,0.08571694726
0.06458068,0.09926400334,-0.006779999938,-0.01707600057,0.1009499904
0.06954838,0.09717400372,-0.005425999872,-0.02087800018,0.09953953669
0.07451607,0.109488003,-0.004127999768,-0.03903299943,0.1163109548
0.07948376,0.1145579964,-0.01479599997,-0.01648299955,0.1166796702
0.08445153,0.1315210015,-0.003918000031,-0.0154769998,0.13248646
0.08941925,0.1436830014,-0.01936900057,-0.02882700041,0.1478206989
0.09438695,0.1462569982,-0.01799999923,-0.01104300003,0.1477736693
0.09935487,0.146439001,-0.01424700022,-0.0171889998,0.1481310897
0.10432232,0.1656419933,-0.01054400019,-0.01855400018,0.1670110679
0.10929024,0.1752589941,-0.009293000214,-0.02948799916,0.1779652128
0.11425794,0.1920299977,-0.01511000004,-0.01886299998,0.1935449428
0.1192257,0.2015540004,-0.0161879994,-0.02499699965,0.2037422793
0.1241934,0.2038909942,-0.01009699982,-0.01196799986,0.2044913689
0.12916109,0.2181770056,-0.01835699938,-0.006113999989,0.2190332537
0.13412901,0.2299519926,-0.02900400013,-0.01941600069,0.232585752
0.13909671,0.2321439981,-0.01088299975,-0.01595100015,0.2329457232
0.14406441,0.248575002,-0.01436400041,-0.01488399971,0.2494341387
0.1490321,0.2601990104,-0.0274020005,-0.009022000246,0.2617934131
0.15399979,0.2622480094,-0.01646899991,-0.01512099989,0.2631993371
0.15896756,0.2642379999,-0.02711899951,-0.004459000193,0.2656634025
0.16393525,0.2732959986,-0.02819599956,-0.008166999556,0.2748679994
0.16890294,0.2798480093,-0.0149299996,0.00248600007,0.2802570132
0.17387085,0.2982420027,-0.03515300155,-0.01320200041,0.3005966043
0.17883855,0.2998229861,-0.03383599967,-0.009735999629,0.301883235
0.18380624,0.3157460093,-0.02061500028,-0.003871999914,0.3164419584
0.18877401,0.3292070031,-0.02171199955,-0.007583000232,0.3300093388
0.1937417,0.3329829872,-0.03232200071,-0.01847999915,0.3350580425
0.19870939,0.3413819969,-0.04063899815,-0.007844000123,0.3438818464
0.2036773,0.3545489907,-0.02980799973,-0.01396299992,0.3560736848
0.20864476,0.3605259955,-0.03334400058,-0.01768199913,0.362496164
0.21361268,0.3711749911,-0.03209999949,-0.00704200007,0.3726269901
0.21858038,0.3697490096,-0.03558399901,-0.008377999999,0.3715518025
0.22354808,0.387349993,-0.04629499838,-0.009721999988,0.3902278325
0.22851584,0.3785760105,-0.0306960009,0.005692000035,0.3798610786
0.23348357,0.4056279957,-0.02951299958,-0.01241699979,0.4068897516
0.23845149,0.4014570117,-0.03311600164,-0.008984999731,0.4029207515
0.24341895,0.4211539924,-0.02955199964,-0.01992099918,0.4226592625
0.24838685,0.4239830077,-0.03316900134,-0.004528000019,0.4253025702
0.25335454,0.4363169968,-0.03921800107,-0.005900999997,0.4381157326
0.25832223,0.441257,-0.04287499934,-0.004900000058,0.443362172
0.26328999,0.4485340118,-0.03458499908,0.0008849999867,0.4498662748
