t,x,y,z,abs
0.41733296,-6.567516804,-0.1078260019,0.06368400156,6.568710609
0.4223012,-6.572384834,-0.09888699651,0.02675700001,6.57318317
0.42726949,-6.568894863,-0.08994399756,-0.00160800002,6.569510806
0.43223779,-6.588129997,-0.09289500117,-0.04778200015,6.588958147
0.43720587,-6.591740131,-0.09347700328,-0.1046309993,6.593233164
0.44217417,-6.601381779,-0.0939380005,-0.1457130015,6.603657927
0.44714241,-6.585885048,-0.09662999958,-0.1878210008,6.589271276
0.45211071,-6.602737904,-0.1085119992,-0.2069739997,6.606872249
0.4570788,-6.596950054,-0.1080719978,-0.1983149946,6.600814981
0.4620471,-6.519480228,-0.1013009995,-0.262484014,6.525548421
0.46701541,-6.429059982,-0.0944089964,-0.3042710125,6.436948513
0.47198363,-6.342299938,-0.08751899749,-0.3191690147,6.350928825
0.47695194,-6.240324974,-0.08076599985,-0.357378006,6.251071746
0.48192025,-6.168056011,-0.07405800372,-0.4266490042,6.183237737
0.48688833,-6.080174923,-0.0650459975,-0.5149829984,6.102291829
0.49185663,-5.993303776,-0.05605100095,-0.6321550012,6.026811081
0.49682494,-5.907376766,-0.06364200264,-0.7280089855,5.952406878
0.50179316,-5.824722767,-0.04964699969,-0.8122569919,5.881294208
0.50676147,-5.728693008,-0.03546699882,-0.8585510254,5.792779243
0.51172955,-5.650050163,-0.03079999983,-0.8983420134,5.721104252
0.51669785,-5.574292183,-0.0285730008,-0.9485390186,5.654491668
0.52166616,-5.491958141,-0.0239560008,-1.00672102,5.58351729
0.52663439,-5.402991772,-0.02400700003,-1.08493197,5.510895916
0.5316027,-5.309790134,-0.01435100008,-1.16406095,5.435909778
0.53657101,-5.233645916,-0.01404600032,-1.244295955,5.379546383
0.54153909,-5.145918846,0.0008280000184,-1.292098999,5.305657479
0.54650739,-5.070431232,-0.0008500000113,-1.274052024,5.228047644
0.55147562,-5.039745808,-0.01018899959,-1.18938899,5.178203143
0.55644391,-5.014914036,0.002017999999,-1.076666951,5.129188882
0.56141222,-4.988790989,-0.009707000107,-0.9885219932,5.08579448
0.5663803,-4.958978176,-0.009666999802,-0.9201660156,5.04363594
0.57134861,-4.935039997,-0.01930000074,-0.8835539818,5.013547636
0.57631692,-4.883487225,-0.02413300052,-0.8834350109,4.962810423
0.58128515,-4.859436989,-0.02399200015,-0.89102,4.940508082
0.58625346,-4.815025806,-0.03794100136,-0.8703609705,4.893203578
0.59122177,-4.781261921,-0.03231000155,-0.7999439836,4.847826304
0.59618985,-4.748618126,-0.03360100091,-0.7372009754,4.805618421
0.60115816,-4.700382233,-0.02507700026,-0.6413850188,4.744006401
0.60612647,-4.660397053,-0.0308699999,-0.5604270101,4.694074145
0.61109471,-4.614342213,-0.032035999,-0.4871180058,4.640093136
0.61606301,-4.564607143,-0.02618500032,-0.4501720071,4.586826666
0.62103109,-4.503972054,-0.0397239998,-0.4256469905,4.524214586
